model,group_type,group,n,sessions,PREFIX,score_contribution,longitudinal_MAE,lateral_MAE,lateral_abs_total_share
FULL_infit_V0,groups,depart,24,5,0.12241712278484845,0.001470475949367549,0.19493013820445645,0.031611779716030734,0.004145030869380773
FULL_infit_V0,groups,nonstop,1875,11,0.11149410202852632,0.10463035100274617,0.08727758874653258,0.049274239972015355,0.9958215957977525
FULL_infit_V0,groups,steady,99,5,0.010190929770449398,0.0005049559796168621,0.12076786456580073,0.01849507073942636,3.337333286656044e-05
FULL_infit_V0,semantic,LANE_KEEP,1804,11,0.09876841937479629,0.0891782925686349,0.08416312456750685,0.04235461297555356,0.7774618993923202
FULL_infit_V0,semantic,TURN_LEFT,39,1,0.15064268102755582,0.002940472752790129,0.10275372976189896,0.14138173362058437,0.04362475455097882
FULL_infit_V0,semantic,TURN_RIGHT,42,3,0.23066169169369224,0.004848744269837374,0.1785109253444851,0.11213174251298016,0.050988553932566294
FULL_infit_V0,semantic,LANE_CHANGE_L,40,4,0.2014884528101312,0.004033802859061686,0.14136689993225818,0.11246978076296861,0.0487069206758563
FULL_infit_V0,semantic,LANE_CHANGE_R,73,5,0.15339358934041367,0.005604470481406506,0.08937802829153592,0.10023178738628241,0.07921787144827827
FULL_infit_V0,semantic,U_TURN,0,0,,0.0,,,0.0
FULL_infit_V0,geometry,near_straight_lt5deg,1648,11,0.10220790624936216,0.08430361836784227,0.08238581734159842,0.04265504812869876,0.7610662748629906
FULL_infit_V0,geometry,gentle_bend_5to15deg,149,9,0.15521363425023288,0.011574990742384734,0.11042764701625088,0.08262954576540633,0.1332958006280786
FULL_infit_V0,geometry,left_bend_ge15deg,23,2,0.28121472902139527,0.003237206590336382,0.12122592422692563,0.23332715282651378,0.05810158117239005
FULL_infit_V0,geometry,right_bend_ge15deg,27,3,0.29298154073197397,0.00395921000989154,0.22868290346040643,0.13966305993403896,0.04082631206711848
FULL_infit_V0,geometry,turnback_ge135deg,0,0,,0.0,,,0.0
FULL_infit_V0,geometry,low_motion_or_partial_stop,151,8,0.046718231311978935,0.0035307572212756855,0.12869008169617113,0.019401458120642597,0.006710031269422241
FULL_infit_V0,future_first2_speed_change,nonstop_range_le_0p5mps,1306,11,0.10195235735004866,0.06664153088046225,0.07735180969580469,0.04903477433206638,0.6911804847377793
FULL_infit_V0,future_first2_speed_change,nonstop_range_gt_0p5mps,569,11,0.1333948376174399,0.03798882012228393,0.11016107443800409,0.049826318405090074,0.30464111105997344
FULL_infit_V0,future_first2_speed_change,stop_or_depart,123,6,0.03208872352935653,0.001975431928984411,0.19392341050800413,0.03143372484304516,0.004178404202247334
FULL_infit_V0,first_interval_speed_bins,0_to_0.5_mps,131,7,0.037051240890662064,0.0024292855639022675,0.18756120168604656,0.026093061907088568,0.004582792828390355
FULL_infit_V0,first_interval_speed_bins,0.5_to_2_mps,36,8,0.11794221987971383,0.0021250850428777266,0.10859291344128917,0.01926846889780155,0.006762548540000054
FULL_infit_V0,first_interval_speed_bins,2_to_5_mps,101,8,0.12654210867948135,0.0063967732615753834,0.09735128153165813,0.0516321534547637,0.05607122705876577
FULL_infit_V0,first_interval_speed_bins,5_to_10_mps,503,11,0.12245414754679385,0.030828046154172825,0.09469054656114284,0.0541871629727401,0.2950932207792371
FULL_infit_V0,first_interval_speed_bins,10_to_15_mps,954,9,0.10468223873286221,0.04998341128686214,0.08247500893428598,0.04725658813732169,0.4880963628604299
FULL_infit_V0,first_interval_speed_bins,15_to_inf_mps,273,3,0.10863251604921549,0.014843181622340254,0.08300680075923696,0.050544654550150385,0.14939384793317675
DEV_PROGRESS_heldout,groups,depart,24,5,0.35855651689498,0.004306985187927688,0.4732713600996343,0.04228546619701037,0.003988100730860344
DEV_PROGRESS_heldout,groups,nonstop,1875,11,0.1548905077577,0.1453552062290728,0.11992195542337716,0.0685167034277093,0.9959883057960749
DEV_PROGRESS_heldout,groups,steady,99,5,0.030609127370702812,0.0015166684733231124,0.46336201115061854,0.01817825195226335,2.3593473064788032e-05
DEV_PROGRESS_heldout,semantic,LANE_KEEP,1804,11,0.1409971544404065,0.12730674004529197,0.11657544802470679,0.060408902147139586,0.79758231231517
DEV_PROGRESS_heldout,semantic,TURN_LEFT,39,1,0.2663682930500105,0.005199381095570775,0.19571776336581745,0.1945395331143708,0.04317613240110289
DEV_PROGRESS_heldout,semantic,TURN_RIGHT,42,3,0.34033559648406875,0.0071542017278933365,0.26367945811616544,0.16875562997032048,0.05519485140894255
DEV_PROGRESS_heldout,semantic,LANE_CHANGE_L,40,4,0.23890798004876368,0.004782942543518793,0.1763191334135812,0.12180620587684068,0.03794201702156229
DEV_PROGRESS_heldout,semantic,LANE_CHANGE_R,73,5,0.18435229818001858,0.0067355944780487275,0.11384837362433671,0.1162835775151229,0.06610468685322235
DEV_PROGRESS_heldout,semantic,U_TURN,0,0,,0.0,,,0.0
DEV_PROGRESS_heldout,geometry,near_straight_lt5deg,1648,11,0.14156815928846503,0.11676893218588108,0.11310361378655585,0.059445474566644015,0.7628989434076229
DEV_PROGRESS_heldout,geometry,gentle_bend_5to15deg,149,9,0.20355277611597294,0.015179861682322307,0.14257315442610508,0.10789127097519312,0.1251882548065162
DEV_PROGRESS_heldout,geometry,left_bend_ge15deg,23,2,0.4206730894957763,0.004842583112313742,0.1763316869089365,0.3565371296127601,0.0638592196706462
DEV_PROGRESS_heldout,geometry,right_bend_ge15deg,27,3,0.43451885650077715,0.005871876439199691,0.3514103376099347,0.20253420584772217,0.042584656959988046
DEV_PROGRESS_heldout,geometry,turnback_ge135deg,0,0,,0.0,,,0.0
DEV_PROGRESS_heldout,geometry,low_motion_or_partial_stop,151,8,0.11267670018723423,0.008515606470606792,0.26550852655080065,0.021984451401332174,0.005468925155226714
DEV_PROGRESS_heldout,future_first2_speed_change,nonstop_range_le_0p5mps,1306,11,0.1408226319110945,0.09204922786581052,0.10425750072882287,0.06938468885700491,0.7034724687220204
DEV_PROGRESS_heldout,future_first2_speed_change,nonstop_range_gt_0p5mps,569,11,0.18717986778523385,0.05330597836326229,0.15603572775656746,0.06651559781673605,0.29251583707405443
DEV_PROGRESS_heldout,future_first2_speed_change,stop_or_depart,123,6,0.0945988619120252,0.0058236536612508005,0.47313684405055273,0.04195821894481924,0.0040116942039251325
DEV_PROGRESS_heldout,first_interval_speed_bins,0_to_0.5_mps,131,7,0.09906663064385689,0.006495359666839466,0.390586017795347,0.03398411881621709,0.004293162896992664
DEV_PROGRESS_heldout,first_interval_speed_bins,0.5_to_2_mps,36,8,0.21981718949174106,0.003960670080932272,0.20340904019501135,0.023156832842781156,0.005845726918724961
DEV_PROGRESS_heldout,first_interval_speed_bins,2_to_5_mps,101,8,0.2063586449927062,0.010431543115246909,0.1735101716437086,0.0689455236263206,0.05385450885615826
DEV_PROGRESS_heldout,first_interval_speed_bins,5_to_10_mps,503,11,0.1814314806845813,0.04567569308525745,0.14452813986369278,0.07375741250058704,0.28891139108027236
DEV_PROGRESS_heldout,first_interval_speed_bins,10_to_15_mps,954,9,0.13646020554163166,0.06515667471807639,0.10470875365237799,0.0649235657278375,0.482327191659826
DEV_PROGRESS_heldout,first_interval_speed_bins,15_to_inf_mps,273,3,0.14241362860620638,0.019458919223971142,0.0979469966754963,0.07750313401173721,0.16476801858802584
DEV_DIRECT_heldout,groups,depart,24,5,0.4736602007371122,0.0056896120208662125,0.5250780525019736,0.04794998790873943,0.005170580457184532
DEV_DIRECT_heldout,groups,nonstop,1875,11,0.14801701942542977,0.13890486057191231,0.11842995885306327,0.05984927018824425,0.9947007401452987
