step,arm,PREFIX,L2_1s,L2_2s,L2_3s,nonstop,depart,steady,first2s_contribution,long_abs,lat_abs,delta_PROGRESS_minus_DIRECT
3426,A2-H4-DIRECT,0.3382206954172894,0.26534635646438076,0.32282536671386114,0.42649036307362614,0.3288031121671003,0.7450996980003692,0.41794668059012346,0.267796211440272,0.2752810530289049,0.12497581629321465,-0.0075705850152204685
3426,A2-H4-PROGRESS,0.3306501104020689,0.21075531311228785,0.3083185100208567,0.4728765080730621,0.33883864719891366,0.5666920800909635,0.11834189053724689,0.24153983216012745,0.24270073695761235,0.18574652942462008,-0.0075705850152204685
6852,A2-H4-DIRECT,0.21009062878524165,0.12549469217636408,0.19969616253864017,0.3050810316407207,0.20583847465153438,0.5039598793424811,0.21938282057642783,0.15277387658025482,0.17325041588801324,0.07916969615362741,-0.007874734496833713
6852,A2-H4-PROGRESS,0.20221589428840797,0.12580262539741413,0.18669681096243504,0.2941482465053746,0.20631845089615125,0.5016958392083619,0.05191475976721963,0.14565465900049085,0.16090803291460642,0.09438361633397552,-0.007874734496833713
10278,A2-H4-DIRECT,0.17240048398853763,0.09917134544835796,0.16265602533073328,0.2553740811865216,0.17076300454243637,0.431608762713869,0.14057498168582944,0.12342157366652672,0.13669017423527177,0.07380048364459409,0.016068933560424378
10278,A2-H4-PROGRESS,0.188469417548962,0.11357284743802869,0.17634779233358203,0.2754876128752753,0.1935661963152953,0.4072626342569266,0.038898736863445665,0.13582861155355513,0.15595118759511004,0.07962526815996307,0.016068933560424378
13704,A2-H4-DIRECT,0.18732994791683877,0.10999153255335375,0.18197687360411144,0.27002143759305114,0.1806905818451537,0.4991453349201714,0.23748390848582449,0.1377621072978465,0.15328100444735812,0.06745131534433299,-0.021420355620325827
13704,A2-H4-PROGRESS,0.16590959229651295,0.09628881131240077,0.1557426689261576,0.24569729665098047,0.17065765097844707,0.35679622004083505,0.029708692352167977,0.11861997539644337,0.1295690730209082,0.08247047119809069,-0.021420355620325827
17130,A2-H4-DIRECT,0.15731460567248035,0.09562966539342206,0.1508315327222739,0.22548261890174498,0.15320229937553959,0.4545812917977048,0.1631345434478184,0.11567185108795953,0.12760937542619097,0.059040913468364695,-0.001963903621336269
17130,A2-H4-PROGRESS,0.15535070205114404,0.09129516638059317,0.14509219228719278,0.22966474748564622,0.1599867885280641,0.3283084644710728,0.025616879401615125,0.1110384956197493,0.1278195720816407,0.06884747110888959,-0.001963903621336269
20554,A2-H4-DIRECT,0.15421303140233023,0.0902455753419852,0.1496150630494345,0.22277845581557087,0.14801701942542977,0.4736602007371122,0.19412000506549756,0.11320133791923646,0.1211226410804244,0.059774954029402486,-0.0030341715120065908
20554,A2-H4-PROGRESS,0.15117885989032362,0.08633403338147831,0.14241700452083375,0.22478554176865875,0.1548905077577,0.35855651689498,0.030609127370702812,0.1078985691942893,0.12223000339317716,0.06834315962147297,-0.0030341715120065908
